item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
489,487,Send (someone to do something),[ókpèmè],/ító-ókpà/,
490,488,Serve,[òtá:ná],/ébíangá/,
491,489,"Lead, guide",[èjá úfá],/éhàn/,
492,490,Follow,[ròfèm òdèmènè],/ìrómó/,
493,491,Obey,[ító-ókpà],/èhúmọ/,
494,492,"Please, satisfy",[ébíangá],/ọpíná/,
495,493,"Annoy, disturb",[éhàn],/ìkwáá/,
496,494,Deceive,[ìrómó],/ràjúnɔ  ɔ fí/,
497,495,Quarrel,[èhúmọ],/rúkó ògbòshí/,
498,496,Fight,[ọpíná/ókúhá],/ìhúmò àféné/,
499,497,Stab,[ìkwáá],/ràjúnò-òkpé/,
500,498,"Kill, murder",[ràjúnó ófí],/sùòyùb/,
501,499,Take revenge,[rúkó ògbòshí],/èsùb éyón/,
502,500,"Resolve, settle",[ìhúmò àféné],/íkpó-òkpé/,
503,501,"Intercede, mediate",[ràjúnò-òkpé],/item/,
504,502,Compromise,[sùòyùb],/éné ndémé/,
505,503,"Appease, pacify",[èsùb éyón],/ófúnó-òbhà/,
506,504,Steal,[íkpó-òkpé],/òʒé/,
507,505,Rape,[ítèm],/úfènò/,
508,506,Judge,[éné ndémé],/úfènò/,
509,507,Law,[ófúnó-òbhà],/ènú/,
510,508,"(be) fair, just",[òʒé],/ònù àráhọrò/,
511,509,(be) guilty,[úfènò],/ènú òfènà/,
512,510,(be) innocent,[úfènò],/ùsà/,
513,511,Punish,[ènú],/úsá/,
514,512,"Penalty, punishment",[ònù àráhọrò],/ úsá/,
515,513,Inhabitant,[ènú òfènà],/ríkpé/,
516,514,Bush dweller,[ùsà],/n ɲ -óvùnè/,
517,515,"Move away, migrate",[úsá],/ áfá/,
518,516,"Country, ethnic area",[úsá],/ ìgò-tánọ],
519,517,Frontier (of ethnic area),[ríkpé],/égò-ópà/,
520,518,"Town, city",[n ɲ -óvùnè],/òkpó-váná/,
521,519,Village,[áfá],/jéméné- gò/,
522,520,"Camp, encampment",[ìgò-tánọ],/èwóí/,
